player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
21525116,唐川　侑己,2016,千葉ロッテ,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.03,.000,0,.000,.000,B
21525116,唐川　侑己,2017,千葉ロッテ,21,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.05,.000,0,.000,.000,B
21625150,西川　史礁,2025,千葉ロッテ,108,444,417,42,117,27,3,3,159,37,1,0,0,3,16,8,85,6,0.281,0.381,0.318,-0.39,.299,97,.699,.101,B
23925150,Ｓ．アセベド,2025,千葉ロッテ,5,12,11,1,2,0,0,1,5,2,0,0,0,0,1,0,3,0,0.182,0.455,0.25,-0.02,.292,94,.705,.273,B
31035157,高野　脩汰,2025,千葉ロッテ,37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,.000,0,.000,.000,B
31335151,井上　広大,2020,阪　神,6,11,11,0,1,1,0,0,2,1,0,0,0,0,0,0,5,0,0.091,0.182,0.091,-0.18,.110,35,.273,.091,B
31335151,井上　広大,2022,阪　神,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-0.13,.000,0,.000,.000,B
31335151,井上　広大,2023,阪　神,13,37,35,3,8,2,1,0,12,7,0,0,0,0,2,0,18,0,0.229,0.343,0.27,-0.15,.262,84,.613,.114,B
31335151,井上　広大,2024,阪　神,23,55,52,5,11,2,0,3,22,8,1,1,0,0,3,0,20,0,0.212,0.423,0.255,-0.13,.282,91,.678,.212,B
31335151,井上　広大,2025,阪　神,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,-0.08,.000,0,.000,.000,B
31535132,愛斗（武田　愛斗）,2017,埼玉西武,9,6,5,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0.167,-0.1,.120,39,.167,.000,B
31535132,愛斗（武田　愛斗）,2018,埼玉西武,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.08,.000,0,.000,.000,B
